rooms,sq_m,floor,floors_all,year,price,area1,area2,area3,area4,area5,area6,area7,area8
2,76.0,8.0,19.0,2012,44500000,1,0,0,0,0,0,0,0
2,40.0,2.0,2.0,1959,27500000,0,0,0,0,0,0,1,0
2,70.0,14.0,17.0,2014,50000000,0,1,0,0,0,0,0,0
4,80.0,5.0,5.0,1980,44300000,0,0,1,0,0,0,0,0
3,77.8,6.0,9.0,2015,38000000,0,0,0,0,0,0,0,1
1,11.0,3.0,5.0,1980,9000000,0,1,0,0,0,0,0,0
5,120.0,5.0,5.0,1973,99000000,0,0,0,0,1,0,0,0
3,62.9,5.0,9.0,1980,52500000,1,0,0,0,0,0,0,0
3,78.0,8.0,12.0,2019,82000000,0,0,1,0,0,0,0,0
3,74.0,1.0,9.0,1991,44000000,1,0,0,0,0,0,0,0
3,60.7,3.0,5.0,1981,40000000,0,0,1,0,0,0,0,0
4,95.3,4.0,9.0,1985,67999000,0,0,0,0,1,0,0,0
2,57.1,2.0,5.0,1994,37200000,0,1,0,0,0,0,0,0
3,70.0,2.0,12.0,2018,40000000,0,0,0,0,0,0,0,0
3,108.0,6.0,9.0,2021,118500000,0,0,1,0,0,0,0,0
1,30.0,4.0,6.0,2015,19000000,0,0,0,0,0,0,0,0
3,132.0,8.0,16.0,2012,49500000,0,0,0,0,0,1,0,0
3,89.0,4.0,9.0,2015,45500000,0,0,0,1,0,0,0,0
3,95.0,1.0,5.0,1984,46000000,0,0,0,1,0,0,0,0
4,110.0,6.0,9.0,2015,64000000,0,0,0,1,0,0,0,0
2,53.0,9.0,9.0,1985,35000000,0,0,1,0,0,0,0,0
1,32.0,1.0,5.0,1984,20990000,0,0,0,1,0,0,0,0
1,46.7,2.0,7.0,2014,24500000,0,0,0,0,0,0,0,0
1,44.0,13.0,26.0,2020,30900000,1,0,0,0,0,0,0,0
4,122.7,13.0,16.0,2021,105000000,0,0,1,0,0,0,0,0
2,65.0,3.0,10.0,2021,33500000,0,0,0,0,0,1,0,0
1,33.0,4.0,4.0,1986,22000000,0,1,0,0,0,0,0,0
3,83.4,11.0,12.0,2018,66700000,0,0,1,0,0,0,0,0
3,70.0,8.0,9.0,1972,60000000,1,0,0,0,0,0,0,0
1,28.0,3.0,4.0,1967,19400000,0,0,1,0,0,0,0,0
1,40.0,4.0,9.0,2017,24000000,0,0,0,0,0,0,0,1
3,106.7,5.0,5.0,1978,78000000,0,0,0,0,1,0,0,0
3,77.4,4.0,5.0,2015,30000000,0,0,0,0,0,0,0,0
4,161.5,21.0,42.0,2016,145000000,0,0,0,0,1,0,0,0
3,74.5,2.0,9.0,1990,49999999,1,0,0,0,0,0,0,0
3,62.0,2.0,4.0,1971,39000000,0,1,0,0,0,0,0,0
1,41.3,1.0,3.0,1973,19000000,0,0,0,1,0,0,0,0
1,46.8,20.0,21.0,2021,47000000,1,0,0,0,0,0,0,0
3,58.8,5.0,5.0,1977,35900000,0,0,1,0,0,0,0,0
1,35.8,3.0,9.0,2018,38900000,0,0,1,0,0,0,0,0
2,44.2,5.0,5.0,1973,31500000,0,0,1,0,0,0,0,0
1,31.7,3.0,5.0,1976,29000000,1,0,0,0,0,0,0,0
2,65.0,7.0,7.0,2021,28200000,0,0,0,0,1,0,0,0
1,43.0,1.0,5.0,1973,38000000,1,0,0,0,0,0,0,0
2,53.7,5.0,9.0,1972,44000000,1,0,0,0,0,0,0,0
2,43.9,4.0,4.0,1972,29500000,0,0,1,0,0,0,0,0
1,45.6,6.0,12.0,2020,27500000,0,0,0,0,0,0,0,0
3,120.0,2.0,19.0,2017,96000000,0,0,1,0,0,0,0,0
3,54.0,4.0,4.0,1963,36600000,1,0,0,0,0,0,0,0
3,63.0,1.0,5.0,1977,42000000,0,0,1,0,0,0,0,0
2,51.0,4.0,5.0,1986,35000000,1,0,0,0,0,0,0,0
2,77.5,16.0,18.0,2015,57000000,0,0,1,0,0,0,0,0
2,45.5,10.0,10.0,2017,33000000,0,1,0,0,0,0,0,0
4,87.0,1.0,5.0,1978,44000000,1,0,0,0,0,0,0,0
2,64.0,2.0,9.0,2014,27500000,0,0,0,0,0,0,0,0
4,100.0,6.0,15.0,2009,70000000,0,0,1,0,0,0,0,0
2,64.5,1.0,9.0,2019,37000000,0,0,0,0,0,1,0,0
4,156.0,19.0,21.0,2008,115000000,1,0,0,0,0,0,0,0
3,107.7,12.0,14.0,2011,54990000,0,0,1,0,0,0,0,0
2,70.0,6.0,10.0,1990,39000000,0,0,0,0,0,0,0,0
2,100.0,15.0,16.0,2013,33000000,0,0,0,0,0,1,0,0
1,32.0,3.0,5.0,1979,26900000,1,0,0,0,0,0,0,0
